                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77968,                 0.9334,                0.86796,                0.91143,                 0.6028,                0.76686,                0.51604,                 1.0864,                 1.8927,                 1.0345,              0.0004387,              0.0004387,              0.0004387
                     37,                0.76222,                0.90534,                0.84616,                0.91143,                 0.6028,                0.76686,                0.51604,                 1.0864,                 1.8927,                 1.0345,             0.00041041,             0.00041041,             0.00041041
                     38,                0.73757,                0.91841,                0.87301,                0.89503,                0.66816,                0.77522,                0.51817,                   1.12,                  1.784,                  1.046,             0.00038211,             0.00038211,             0.00038211
                     39,                0.73241,                0.88795,                0.88224,                0.86822,                0.67289,                0.79312,                0.53113,                 1.1758,                 1.7057,                 1.0631,             0.00035382,             0.00035382,             0.00035382
                     40,                  0.784,                0.91945,                0.88934,                0.87533,                0.68326,                0.79591,                0.54945,                 1.1543,                 1.6426,                  1.064,             0.00032553,             0.00032553,             0.00032553
                     41,                0.78927,                  1.212,                 0.8604,                0.87533,                0.68326,                0.79591,                0.54945,                 1.1543,                 1.6426,                  1.064,             0.00029723,             0.00029723,             0.00029723
                     42,                0.73089,                  1.133,                0.87088,                 0.8591,                0.67531,                0.79523,                0.56815,                 1.1128,                 1.6045,                 1.0557,             0.00026894,             0.00026894,             0.00026894
                     43,                0.81765,                 1.2066,                 0.8683,                0.86031,                0.68149,                0.80279,                0.55818,                 1.0791,                 1.6202,                 1.0434,             0.00024064,             0.00024064,             0.00024064
                     44,                0.73179,                 1.1208,                0.85293,                  0.897,                0.68339,                0.78842,                0.56127,                   1.04,                 1.6358,                 1.0332,             0.00021235,             0.00021235,             0.00021235
                     45,                0.73948,                 1.1054,                0.85675,                  0.897,                0.68339,                0.78842,                0.56127,                   1.04,                 1.6358,                 1.0332,             0.00018406,             0.00018406,             0.00018406
                     46,                0.71687,                 1.0928,                0.86111,                0.88837,                0.67153,                0.79926,                 0.5578,                 1.0521,                 1.6393,                 1.0368,             0.00015576,             0.00015576,             0.00015576
                     47,                0.73851,                 1.1372,                0.86701,                0.87809,                0.67264,                0.79444,                0.55509,                 1.0606,                 1.5935,                 1.0403,             0.00012747,             0.00012747,             0.00012747
                     48,                0.67127,                 1.0661,                0.86816,                0.79645,                0.64928,                0.79737,                0.54905,                 1.0759,                 1.5212,                 1.0512,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 0.6892,                 1.1498,                0.84449,                0.79645,                0.64928,                0.79737,                0.54905,                 1.0759,                 1.5212,                 1.0512,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.69059,                 1.1297,                0.85426,                0.80979,                0.72231,                0.80314,                0.55635,                  1.092,                 1.4632,                  1.067,             4.2584e-05,             4.2584e-05,             4.2584e-05
